id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-09-16 19:40:03.883158,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-09-16 19:40:50.961273,,,0,,,f,,{},particle,1,1
3,2019-09-16 19:53:59.99696,,,0,,,t,2019-09-16 20:02:22.413106,{},particle,1,2
4,2019-09-16 19:59:29.493588,,,0,,,t,2019-09-16 20:03:27.542634,{},particle,1,3
6,2019-09-16 20:12:59.067419,,,0,,,t,2019-09-16 20:16:22.369268,{},particle,1,5
5,2019-09-16 20:06:50.938583,,,0,,,t,2019-09-16 20:17:34.656959,{},particle,1,4
7,2019-09-16 20:16:44.744436,,,0,,,t,2019-09-16 20:25:18.685192,{},particle,1,6
8,2019-09-16 20:30:19.932015,,,0,,,t,2019-09-16 20:30:26.630362,{},particle,1,7
9,2019-09-16 20:38:26.846322,,,0,,,t,2019-09-16 20:42:54.910424,{},particle,1,8
10,2019-09-16 20:45:41.332388,,,0,,,f,,{},particle,1,9
11,2019-09-16 21:32:50.785599,,,0,,,t,2019-09-16 21:51:10.3666,{},particle,1,10
12,2019-09-16 22:17:48.93582,,,0,,,t,2019-09-16 22:30:55.398522,{},particle,1,11
13,2019-09-16 23:29:17.013956,,,0,,,t,2019-09-16 23:31:37.675661,{},particle,1,12
14,2019-09-17 00:13:36.966016,,,0,,,f,,{},particle,1,13
15,2019-09-17 00:37:42.911704,,,1,,,t,2019-09-17 00:39:57.035669,{},particle,1,14
16,2019-09-17 00:44:23.217743,,,1,,,f,,{},particle,1,15
17,2019-09-17 00:53:49.553408,,,1,,,f,,{},particle,1,16
18,2019-09-17 00:54:09.998808,,,1,,,f,,{},particle,1,17
