id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-09-16 19:40:31.282228,,,,,,f,,{},3AQF3RZ55A6UYO00728Q38VKZKZ6F1,AssignmentAccepted
2,2019-09-16 19:40:37.057479,,,,,,f,,{},3Z2R0DQ0JJ2EA9H3PPCHVDT87EIE2A,AssignmentAccepted
3,2019-09-16 19:40:43.259728,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentAccepted
4,2019-09-16 19:44:36.452482,,,,,,f,,{},3Z2R0DQ0JJ2EA9H3PPCHVDT87EIE2A,AssignmentSubmitted
5,2019-09-16 20:02:22.299592,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentReturned
6,2019-09-16 20:02:22.310383,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentAccepted
7,2019-09-16 20:03:27.46377,,,,,,f,,{},3AQF3RZ55A6UYO00728Q38VKZKZ6F1,AssignmentReturned
8,2019-09-16 20:03:35.387947,,,,,,f,,{},3AQF3RZ55A6UYO00728Q38VKZKZ6F1,AssignmentAccepted
9,2019-09-16 20:16:22.29143,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentReturned
10,2019-09-16 20:16:32.520812,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentAccepted
11,2019-09-16 20:17:34.009151,,,,,,f,,{},3AQF3RZ55A6UYO00728Q38VKZKZ6F1,AssignmentSubmitted
12,2019-09-16 20:17:52.08748,,,,,,f,,{},3SNVL38CI6GUUR1FI4CQ5LFZ33BCKN,AssignmentAccepted
13,2019-09-16 20:23:01.998786,,,,,,f,,{},3SNVL38CI6GUUR1FI4CQ5LFZ33BCKN,AssignmentReturned
14,2019-09-16 20:23:33.26077,,,,,,f,,{},37XITHEISYXGHVEA8OLN6X1DYV6CRH,AssignmentAccepted
15,2019-09-16 20:25:18.083832,,,,,,f,,{},3DI28L7YXC27LOZ76LC3QUJ3F84E1T,AssignmentSubmitted
16,2019-09-16 20:25:30.201645,,,,,,f,,{},3GDTJDAPVWZN8CB5M491ICBK2HM8MJ,AssignmentAccepted
17,2019-09-16 20:30:26.616184,,,,,,f,,{},37XITHEISYXGHVEA8OLN6X1DYV6CRH,AssignmentReturned
18,2019-09-16 20:30:50.317725,,,,,,f,,{},37XITHEISYXGHVEA8OLN6X1DYV6CRH,AssignmentAccepted
19,2019-09-16 20:42:34.044544,,,,,,f,,"{""feedback"": ""I don't know what happened.  I didn't do anything unusual or different."", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_started_exp_mturk"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
20,2019-09-16 20:42:54.895878,,,,,,f,,{},3GDTJDAPVWZN8CB5M491ICBK2HM8MJ,AssignmentReturned
21,2019-09-16 20:43:15.840924,,,,,,f,,{},3GDTJDAPVWZN8CB5M491ICBK2HM8MJ,AssignmentAccepted
22,2019-09-16 20:52:29.83378,,,,,,f,,{},37XITHEISYXGHVEA8OLN6X1DYV6CRH,AssignmentReturned
23,2019-09-16 20:52:50.687862,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentAccepted
24,2019-09-16 20:58:01.227921,,,,,,f,,{},3GDTJDAPVWZN8CB5M491ICBK2HM8MJ,AssignmentSubmitted
25,2019-09-16 21:20:57.617259,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentAccepted
26,2019-09-16 21:20:57.640363,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentReturned
27,2019-09-16 21:41:12.193986,,,,,,f,,"{""feedback"": ""When I reopened the experiment to finish it, this error occurred."", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_started_exp_mturk"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
28,2019-09-16 21:51:10.271236,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentAbandoned
29,2019-09-16 21:51:32.444711,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentAccepted
30,2019-09-16 22:16:08.740428,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentReturned
31,2019-09-16 22:16:18.676742,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentAccepted
32,2019-09-16 22:30:53.899159,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2OFTEKN,AssignmentSubmitted
33,2019-09-16 22:31:06.431796,,,,,,f,,{},32UTUBMZ7IKP0X3L38U2WAKY1GZBVI,AssignmentAccepted
34,2019-09-16 23:01:16.233293,,,,,,f,,{},32UTUBMZ7IKP0X3L38U2WAKY1GZBVI,AssignmentAbandoned
35,2019-09-16 23:02:09.539977,,,,,,f,,{},3F1567XTNYTE7WS7JPMWZHQ0WOK9QF,AssignmentAccepted
36,2019-09-16 23:28:34.061125,,,,,,f,,{},3F1567XTNYTE7WS7JPMWZHQ0WOK9QF,AssignmentReturned
37,2019-09-16 23:28:39.486266,,,,,,f,,{},3F1567XTNYTE7WS7JPMWZHQ0WOK9QF,AssignmentAccepted
38,2019-09-16 23:31:37.66653,,,,,,f,,{},3F1567XTNYTE7WS7JPMWZHQ0WOK9QF,AssignmentReturned
