id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-09-16 19:44:22.930726,,,,,,f,,{},question,1,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""0"",""technical_issues"":"""",""confusion"":"""",""engagement"":""7"",""difficulty"":""10""}"
2,2019-09-16 19:44:24.23973,,,,,,f,,{},question,1,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""0"",""technical_issues"":"""",""confusion"":"""",""engagement"":""7"",""difficulty"":""10""}"
3,2019-09-16 20:16:52.788774,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""2"",""ideology"":""8"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""4""}"
4,2019-09-16 20:25:08.810438,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""10"",""technical_issues"":""There were no problems or errors at all!"",""confusion"":""It was all clear with nothing confusing."",""engagement"":""10"",""difficulty"":""4""}"
5,2019-09-16 20:57:29.329524,,,,,,f,,{},question,9,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""2"",""ideology"":""10"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""1""}"
6,2019-09-16 22:30:37.53282,,,,,,f,,{},question,11,1,questionnaire,"{""language"":""Yes"",""education"":""1"",""age"":""2"",""ideology"":""7"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""8""}"
7,2019-09-17 00:24:09.326966,,,,,,f,,{},question,13,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""10"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""8""}"
8,2019-09-17 00:52:10.556239,,,,,,f,,{},question,15,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""0"",""ideology"":""6"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""10"",""difficulty"":""3""}"
9,2019-09-17 00:59:49.149215,,,,,,f,,{},question,17,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""0"",""technical_issues"":""No"",""confusion"":""No"",""engagement"":""10"",""difficulty"":""3""}"
10,2019-09-17 01:02:05.168237,,,,,,f,,{},question,16,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""2"",""ideology"":""2"",""technical_issues"":""no"",""confusion"":""no"",""engagement"":""8"",""difficulty"":""7""}"
