id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-09-16 19:40:51.027479,,,,,,f,,{},1,1,1,2,1,2019-09-16 19:40:51.039859,received
2,2019-09-16 19:54:00.220064,,,,,,t,2019-09-16 20:02:22.491577,{},2,3,1,3,1,2019-09-16 19:54:00.258395,received
3,2019-09-16 19:59:29.668308,,,,,,t,2019-09-16 20:03:27.571013,{},3,4,1,4,1,2019-09-16 19:59:29.695001,received
5,2019-09-16 20:12:59.150419,,,,,,t,2019-09-16 20:16:22.387629,{},5,6,1,6,1,2019-09-16 20:12:59.165318,received
4,2019-09-16 20:06:51.023226,,,,,,t,2019-09-16 20:17:34.673296,{},4,5,1,5,1,2019-09-16 20:06:51.03619,received
6,2019-09-16 20:16:44.912257,,,,,,t,2019-09-16 20:25:18.702729,{},6,8,1,7,1,2019-09-16 20:16:44.938213,received
7,2019-09-16 20:30:19.992106,,,,,,t,2019-09-16 20:30:26.651584,{},7,10,1,8,1,2019-09-16 20:30:20.001316,received
8,2019-09-16 20:38:27.116416,,,,,,t,2019-09-16 20:42:54.926447,{},8,11,1,9,1,2019-09-16 20:38:27.150967,received
9,2019-09-16 20:45:41.546793,,,,,,f,,{},9,12,1,10,1,2019-09-16 20:45:41.57207,received
10,2019-09-16 21:32:51.251387,,,,,,t,2019-09-16 21:51:10.398219,{},10,14,1,11,1,2019-09-16 21:32:51.323563,received
11,2019-09-16 22:17:49.031017,,,,,,t,2019-09-16 22:30:55.438409,{},11,15,1,12,1,2019-09-16 22:17:49.043505,received
12,2019-09-16 23:29:17.265535,,,,,,t,2019-09-16 23:31:37.692808,{},12,17,1,13,1,2019-09-16 23:29:17.320529,received
13,2019-09-17 00:13:37.131288,,,,,,f,,{},13,18,1,14,1,2019-09-17 00:13:37.145516,received
14,2019-09-17 00:37:43.034403,,,,,,t,2019-09-17 00:39:57.063106,{},14,19,14,15,1,2019-09-17 00:37:43.122119,received
15,2019-09-17 00:37:43.069522,,,,,,t,2019-09-17 00:39:57.074076,{},15,13,10,15,1,2019-09-17 00:37:43.122158,received
16,2019-09-17 00:37:43.102271,,,,,,t,2019-09-17 00:39:57.085325,{},16,2,2,15,1,2019-09-17 00:37:43.122189,received
17,2019-09-17 00:44:23.424311,,,,,,f,,{},17,2,2,16,1,2019-09-17 00:44:23.614502,received
18,2019-09-17 00:44:23.502884,,,,,,f,,{},18,13,10,16,1,2019-09-17 00:44:23.614554,received
19,2019-09-17 00:44:23.568869,,,,,,f,,{},19,19,14,16,1,2019-09-17 00:44:23.614585,received
20,2019-09-17 00:53:49.679653,,,,,,f,,{},20,2,2,17,1,2019-09-17 00:53:49.731485,received
21,2019-09-17 00:53:49.699793,,,,,,f,,{},21,13,10,17,1,2019-09-17 00:53:49.73152,received
22,2019-09-17 00:53:49.720352,,,,,,f,,{},22,19,14,17,1,2019-09-17 00:53:49.731545,received
23,2019-09-17 00:54:10.103721,,,,,,f,,{},23,2,2,18,1,2019-09-17 00:54:10.187966,received
24,2019-09-17 00:54:10.142576,,,,,,f,,{},24,13,10,18,1,2019-09-17 00:54:10.18801,received
25,2019-09-17 00:54:10.171786,,,,,,f,,{},25,19,14,18,1,2019-09-17 00:54:10.188041,received
