id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
42,2019-09-27 17:20:31.806048,,,,,,f,,{},participant,4895e1bc95b7c119525ff8f6db15b098,mturk,42,3QRYMNZ7F05COEOT13ZWMNW7PWPTNT,42:3QRYMNZ7F05COEOT13ZWMNW7PWPTNT,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 17:22:55.69317,,,returned
10,2019-09-27 15:25:00.705728,,,,,,f,,{},participant,610eb669b1a60ed146ba699aa0972fbe,mturk,10,35USIKEBNT46MGDH5QR3BD4T5MQ6N3,10:35USIKEBNT46MGDH5QR3BD4T5MQ6N3,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:36:21.70744,1,0.98,approved
3,2019-09-27 15:16:54.610903,,,,,,f,,{},participant,205774cfd72ff36fd98d0f543c226c3c,mturk,3,36NEMU28XH1YYD7NK7P7WSE6OY8MWJ,3:36NEMU28XH1YYD7NK7P7WSE6OY8MWJ,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:21:25.636731,1,0.24,did_not_attend
2,2019-09-27 15:16:44.816419,,,,,,f,,{},participant,146b1b31499b753fa5d4b74f2e19a4c3,mturk,2,3X31TUMD7ZALRU9ZN7Z73P9NSGA1LY,2:3X31TUMD7ZALRU9ZN7Z73P9NSGA1LY,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:24:58.585,1,0.98,approved
5,2019-09-27 15:17:34.681619,,,,,,f,,{},participant,be7e5684b290b9b4450bdabb09cc1253,mturk,5,39ZSFO5CAAKV51CXMAXEYC1SZO2UJO,5:39ZSFO5CAAKV51CXMAXEYC1SZO2UJO,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:21:25.643519,1,0.98,approved
9,2019-09-27 15:24:16.085827,,,,,,f,,{},participant,66c2f1a84a791118ab895de767b75588,mturk,9,3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,9:3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:25:06.656572,,,returned
1,2019-09-27 15:16:25.820633,,,,,,f,,{},participant,cb0d48d1a1c2a22ac1714e29e12c6a5f,mturk,1,34V1S5K3GUPLXE9N4G8YTC990X9967,1:34V1S5K3GUPLXE9N4G8YTC990X9967,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:21:50.082032,1,0.24,did_not_attend
7,2019-09-27 15:22:08.431582,,,,,,f,,{},participant,445801db60854c34b87dd313c39780d3,mturk,7,3GD6L00D3UL5XCRKNJ0M32OCSL01M0,7:3GD6L00D3UL5XCRKNJ0M32OCSL01M0,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:28:31.70427,1,0.24,did_not_attend
4,2019-09-27 15:17:27.479322,,,,,,f,,{},participant,1e691090e6d0adce951599a78e893e0e,mturk,4,3AMYWKA6YDAO41DT65RGQ24YVWV6OI,4:3AMYWKA6YDAO41DT65RGQ24YVWV6OI,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:25:17.1871,1,0.98,approved
6,2019-09-27 15:19:08.374251,,,,,,f,,{},participant,102af61b6c571f382f3d3e02b1bc9fc5,mturk,6,39LNWE0K4WKZAQSR4SCEMBMSM9DUIC,6:39LNWE0K4WKZAQSR4SCEMBMSM9DUIC,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:24:44.938508,1,0.98,approved
8,2019-09-27 15:22:39.988353,,,,,,f,,{},participant,6bacdee85a93a4af45e4f299b4fd1445,mturk,8,36TFCYNS46YRVZB23F5G66KHGEIXHH,8:36TFCYNS46YRVZB23F5G66KHGEIXHH,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:27:56.158188,1,0.24,did_not_attend
14,2019-09-27 15:31:07.51163,,,,,,f,,{},participant,18db3201c19b0ad61cf96c24c6f90dad,mturk,14,3CCZ6YKWR97PEA99ZXYT16V942Y95R,14:3CCZ6YKWR97PEA99ZXYT16V942Y95R,39HYCOOPKP9X2N92DAEFGKUXMGRMDI,live,2019-09-27 15:37:22.185975,1,0.98,approved
