id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
39,2019-09-27 17:20:38.407141,,,,,,f,,{},39,46,43,49,8,2019-09-27 17:20:38.4505,received
40,2019-09-27 17:20:39.42988,,,,,,f,,{},40,45,44,50,4,2019-09-27 17:20:39.447906,received
3,2019-09-27 15:17:16.268753,,,,,,f,,{},3,3,2,13,2,2019-09-27 15:17:16.287455,received
41,2019-09-27 17:20:51.31489,,,,,,f,,{},41,44,42,51,3,2019-09-27 17:20:51.330379,received
4,2019-09-27 15:17:36.85698,,,,,,f,,{},4,4,1,14,1,2019-09-27 15:17:36.883625,received
5,2019-09-27 15:17:44.127756,,,,,,f,,{},5,5,4,15,4,2019-09-27 15:17:44.207744,received
6,2019-09-27 15:19:19.736069,,,,,,f,,{},6,6,7,16,7,2019-09-27 15:19:19.834776,received
2,2019-09-27 15:17:03.343866,,,,,,t,2019-09-27 15:21:26.38481,{},2,2,3,12,3,2019-09-27 15:17:03.365793,received
1,2019-09-27 15:17:01.947215,,,,,,t,2019-09-27 15:21:50.834836,{},1,1,6,11,6,2019-09-27 15:17:01.97584,received
42,2019-09-27 17:20:58.510777,,,,,,t,2019-09-27 17:22:55.716634,{},42,48,46,52,7,2019-09-27 17:20:58.62795,received
43,2019-09-27 17:22:27.618917,,,,,,t,2019-09-27 17:23:03.718183,{},43,40,36,53,2,2019-09-27 17:22:27.633427,received
44,2019-09-27 17:27:55.753548,,,,,,f,,{},44,41,37,54,1,2019-09-27 17:27:55.763938,received
9,2019-09-27 15:24:18.445792,,,,,,t,2019-09-27 15:25:06.688503,{},9,14,8,19,8,2019-09-27 15:24:18.462065,received
10,2019-09-27 15:25:23.746534,,,,,,f,,{},10,17,5,20,5,2019-09-27 15:25:23.761449,received
8,2019-09-27 15:22:44.852245,,,,,,t,2019-09-27 15:27:57.009441,{},8,11,6,18,6,2019-09-27 15:22:44.90968,received
7,2019-09-27 15:22:14.422606,,,,,,t,2019-09-27 15:28:32.321776,{},7,10,9,17,9,2019-09-27 15:22:14.446373,received
45,2019-09-27 17:27:57.767436,,,,,,f,,{},45,48,46,55,7,2019-09-27 17:27:57.836452,received
46,2019-09-27 17:28:13.560375,,,,,,t,2019-09-27 17:32:04.18653,{},46,47,45,56,10,2019-09-27 17:28:13.574181,received
13,2019-09-27 15:29:26.155224,,,,,,f,,{},13,22,3,23,3,2019-09-27 15:29:26.200654,received
47,2019-09-27 17:34:23.795707,,,,,,f,,{},47,43,40,57,9,2019-09-27 17:34:23.813357,received
14,2019-09-27 15:31:13.910359,,,,,,f,,{},14,23,8,24,8,2019-09-27 15:31:13.925582,received
11,2019-09-27 15:28:47.981601,,,,,,t,2019-09-27 15:33:38.241715,{},11,20,9,21,9,2019-09-27 15:28:48.040269,received
15,2019-09-27 15:34:56.258551,,,,,,f,,{},15,26,9,25,9,2019-09-27 15:34:56.268646,received
48,2019-09-27 17:41:48.127311,,,,,,f,,{},48,47,45,58,10,2019-09-27 17:41:48.153665,received
16,2019-09-27 15:42:57.493463,,,,,,t,2019-09-27 15:46:36.475953,{},16,29,6,26,6,2019-09-27 15:42:57.536156,received
12,2019-09-27 15:29:03.970535,,,,,,t,2019-09-27 15:49:33.511335,{},12,21,10,22,10,2019-09-27 15:29:03.986523,received
49,2019-09-27 18:13:50.100017,,,,,,f,,{},49,40,36,59,2,2019-09-27 18:13:50.115019,received
17,2019-09-27 15:50:55.577968,,,,,,t,2019-09-27 15:52:41.559725,{},17,31,10,27,10,2019-09-27 15:50:55.607104,received
50,2019-09-27 18:20:12.666149,,,,,,f,,{},50,57,57,60,9,2019-09-27 18:20:12.678281,received
18,2019-09-27 15:54:11.674169,,,,,,f,,{},18,32,6,28,6,2019-09-27 15:54:11.703232,received
19,2019-09-27 16:10:03.187947,,,,,,f,,{},19,34,10,29,10,2019-09-27 16:10:03.205659,received
51,2019-09-27 18:20:53.122687,,,,,,f,,{},51,50,49,61,8,2019-09-27 18:20:53.157355,received
20,2019-09-27 16:20:12.541425,,,,,,f,,{},20,25,20,30,5,2019-09-27 16:20:12.550263,received
52,2019-09-27 18:20:59.762802,,,,,,f,,{},52,56,55,62,7,2019-09-27 18:20:59.774702,received
22,2019-09-27 16:20:43.559679,,,,,,f,,{},22,33,28,32,6,2019-09-27 16:20:43.570959,received
53,2019-09-27 18:24:13.898873,,,,,,f,,{},53,51,48,63,6,2019-09-27 18:24:13.971825,received
21,2019-09-27 16:20:24.316452,,,,,,t,2019-09-27 16:21:20.51447,{},21,28,23,31,3,2019-09-27 16:20:24.339752,received
54,2019-09-27 18:27:17.694053,,,,,,f,,{},54,55,54,64,1,2019-09-27 18:27:17.708014,received
55,2019-09-27 18:31:20.884769,,,,,,f,,{},55,52,50,65,4,2019-09-27 18:31:20.932227,received
56,2019-09-27 18:32:46.423739,,,,,,f,,{},56,49,47,66,5,2019-09-27 18:32:46.458551,received
26,2019-09-27 16:24:27.355318,,,,,,f,,{},26,13,13,36,2,2019-09-27 16:24:27.370736,received
24,2019-09-27 16:22:35.06773,,,,,,t,2019-09-27 16:24:53.098398,{},24,30,25,34,9,2019-09-27 16:22:35.082262,received
27,2019-09-27 16:26:21.047633,,,,,,f,,{},27,8,14,37,1,2019-09-27 16:26:21.061156,received
25,2019-09-27 16:22:42.451657,,,,,,t,2019-09-27 16:31:53.769912,{},25,12,16,35,7,2019-09-27 16:22:42.464955,received
57,2019-09-27 18:35:03.843286,,,,,,f,,{},57,59,59,67,2,2019-09-27 18:35:03.874181,received
58,2019-09-27 18:48:30.875187,,,,,,f,,{},58,53,51,68,3,2019-09-27 18:48:30.884223,received
29,2019-09-27 16:37:33.107077,,,,,,t,2019-09-27 16:37:41.512107,{},29,30,25,39,9,2019-09-27 16:37:33.12658,received
30,2019-09-27 16:40:54.374121,,,,,,f,,{},30,30,25,40,9,2019-09-27 16:40:54.390988,received
28,2019-09-27 16:36:37.361284,,,,,,t,2019-09-27 16:42:58.354327,{},28,28,23,38,3,2019-09-27 16:36:37.377092,received
59,2019-09-27 18:51:30.957202,,,,,,t,2019-09-27 18:52:12.277021,{},59,58,58,69,10,2019-09-27 18:51:30.981574,received
32,2019-09-27 16:43:47.960609,,,,,,f,,{},32,28,23,42,3,2019-09-27 16:43:47.97582,received
23,2019-09-27 16:21:07.963347,,,,,,t,2019-09-27 16:44:29.556621,{},23,35,29,33,10,2019-09-27 16:21:07.976523,received
31,2019-09-27 16:43:04.583806,,,,,,t,2019-09-27 16:45:22.352892,{},31,27,24,41,8,2019-09-27 16:43:04.597074,received
60,2019-09-27 19:06:37.172364,,,,,,t,2019-09-27 19:09:32.773602,{},60,58,58,70,10,2019-09-27 19:06:37.210293,received
33,2019-09-27 16:45:43.940264,,,,,,f,,{},33,27,24,43,8,2019-09-27 16:45:43.95858,received
34,2019-09-27 16:46:31.565346,,,,,,f,,{},34,15,15,44,4,2019-09-27 16:46:31.582946,received
35,2019-09-27 16:51:48.970915,,,,,,f,,{},35,35,29,45,10,2019-09-27 16:51:48.995052,received
61,2019-09-27 19:14:39.76294,,,,,,t,2019-09-27 19:17:18.085212,{},61,58,58,71,10,2019-09-27 19:14:39.785691,received
36,2019-09-27 17:14:42.743412,,,,,,f,,{},36,12,16,46,7,2019-09-27 17:14:42.76184,received
37,2019-09-27 17:19:49.745473,,,,,,f,,{},37,39,30,47,5,2019-09-27 17:19:49.757665,received
62,2019-09-27 19:19:53.826068,,,,,,f,,{},62,58,58,72,10,2019-09-27 19:19:53.893658,received
38,2019-09-27 17:20:25.554498,,,,,,f,,{},38,38,32,48,6,2019-09-27 17:20:25.602089,received
64,2019-09-27 19:22:46.165784,,,,,,f,,{},64,64,64,74,1,2019-09-27 19:22:46.22287,received
65,2019-09-27 19:23:02.893433,,,,,,f,,{},65,68,68,75,3,2019-09-27 19:23:02.902543,received
66,2019-09-27 19:23:49.274689,,,,,,f,,{},66,62,61,76,8,2019-09-27 19:23:49.282332,received
63,2019-09-27 19:22:41.283091,,,,,,t,2019-09-27 19:24:00.217562,{},63,65,65,73,4,2019-09-27 19:22:41.352926,received
67,2019-09-27 19:29:47.698919,,,,,,t,2019-09-27 19:30:29.576867,{},67,60,60,77,9,2019-09-27 19:29:47.804374,received
68,2019-09-27 19:37:01.724283,,,,,,t,2019-09-27 19:39:25.982512,{},68,71,72,78,10,2019-09-27 19:37:01.736227,received
69,2019-09-27 19:41:49.523851,,,,,,f,,{},69,60,60,79,9,2019-09-27 19:41:49.614643,received
70,2019-09-27 19:46:03.933653,,,,,,t,2019-09-27 19:51:11.927481,{},70,65,65,80,4,2019-09-27 19:46:03.94729,received
71,2019-09-27 20:00:59.66263,,,,,,f,,{},71,61,62,81,7,2019-09-27 20:00:59.672244,received
73,2019-09-27 20:16:22.893041,,,,,,f,,{},73,63,63,83,6,2019-09-27 20:16:22.90423,received
