id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-09-17 12:32:12.517636,,,,,,f,,{},war_of_the_ghosts_source,1,
3,2019-09-17 12:37:39.235105,,,0,,,t,2019-09-17 12:37:46.086733,{},particle,1,2
2,2019-09-17 12:37:32.606517,,,0,,,t,2019-09-17 12:42:38.992519,{},particle,1,1
4,2019-09-17 12:43:14.357826,,,0,,,f,,{},particle,1,3
5,2019-09-17 12:43:36.453825,,,0,,,t,2019-09-17 12:43:45.413808,{},particle,1,4
6,2019-09-17 12:51:02.779035,,,0,,,f,,{},particle,1,5
7,2019-09-17 13:01:57.45034,,,0,,,t,2019-09-17 13:07:23.219943,{},particle,1,6
8,2019-09-17 13:10:26.996432,,,0,,,t,2019-09-17 13:11:01.675099,{},particle,1,7
9,2019-09-17 13:23:52.379722,,,0,,,t,2019-09-17 13:41:26.400371,{},particle,1,8
10,2019-09-17 13:42:19.814046,,,0,,,f,,{},particle,1,9
11,2019-09-17 13:49:23.957864,,,1,,,t,2019-09-17 13:52:43.21824,{},particle,1,10
12,2019-09-17 14:03:01.10321,,,1,,,f,,{},particle,1,11
13,2019-09-17 14:04:43.110375,,,1,,,t,2019-09-17 14:11:50.208942,{},particle,1,12
14,2019-09-17 14:14:31.240238,,,1,,,f,,{},particle,1,13
15,2019-09-17 14:20:02.480921,,,1,,,f,,{},particle,1,14
