id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
2,2019-09-17 12:37:36.478958,,,,,,f,,{},participant,fe03e48aeb12193bc623b76080fa95e0,mturk,2,3U4J9857OGZNP72PLARMQW4VG967BN,2:3U4J9857OGZNP72PLARMQW4VG967BN,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 12:37:46.076958,,,returned
1,2019-09-17 12:37:10.451962,,,,,,f,,{},participant,ebde11ab65f3b656be690ba250c85928,mturk,1,3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,1:3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 12:42:38.98646,,,returned
4,2019-09-17 12:43:29.106559,,,,,,f,,{},participant,6378949872a71c18a2c410bfc8a8b355,mturk,4,3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,4:3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 12:43:45.405034,,,returned
9,2019-09-17 13:42:08.700993,,,,,,f,,{},participant,691383cda2e0c2c44e0c882f5ddd81d6,mturk,9,3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,9:3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:48:17.217594,1.25,1.75,approved
10,2019-09-17 13:49:15.683602,,,,,,f,,{},participant,fc0000357d6a19dc469df60a9158ad65,mturk,10,3EFE17QCRETJZIP395ZT7Y3PY2YHSE,10:3EFE17QCRETJZIP395ZT7Y3PY2YHSE,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:52:43.211514,,,returned
3,2019-09-17 12:42:59.938349,,,,,,f,,{},participant,1f21ab80bce7a41084434a38d9c43702,mturk,3,3U4J9857OGZNP72PLARMQW4VG967BN,3:3U4J9857OGZNP72PLARMQW4VG967BN,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 12:54:24.980932,1.25,1.75,approved
5,2019-09-17 12:44:24.747633,,,,,,f,,{},participant,35058b8536971aac8c5547f1f07507ad,mturk,5,3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,5:3TVSS0C0E3O2B8X7T4QJI69YF7ETW0,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:03:44.10347,1.25,1.75,approved
6,2019-09-17 13:01:46.974417,,,,,,f,,{},participant,a4adc746414989a7beb2d8c421687982,mturk,6,33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,6:33PPUNGG3ATTPOPK025VHV2Y8OLZRJ,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:07:23.196605,,,returned
7,2019-09-17 13:08:43.244252,,,,,,f,,{},participant,fc5ba5cbaa6c89fffa03cb9934a3accc,mturk,7,3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,7:3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:11:01.667397,,,returned
8,2019-09-17 13:23:49.678565,,,,,,f,,{},participant,0ebcabb6683002fcf015d7c1a1032aff,mturk,8,3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,8:3KJYX6QCMBZVIG1XR07JUY3BAX6JVY,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 13:41:26.376392,,,abandoned
14,2019-09-17 14:19:44.112877,,,,,,f,,{},participant,d0b53a623580a3110866e5eb377bbfbb,mturk,14,3EFE17QCRETJZIP395ZT7Y3PY2YHSE,14:3EFE17QCRETJZIP395ZT7Y3PY2YHSE,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 14:24:27.844072,1.25,0.48,approved
11,2019-09-17 14:02:53.773672,,,,,,f,,{},participant,81a6948e21dcf60654dda7d97d62a322,mturk,11,3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,11:3EJJQNKU9TT7Y3PQUGZOHOYTC0FHRQ,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 14:08:57.522526,1.25,0.48,approved
12,2019-09-17 14:04:39.183949,,,,,,f,,{},participant,16efb1e94477e4f66353e0f1601d273f,mturk,12,3PW9OPU9PS8FQ8NRD1H2OTAEJJ421Y,12:3PW9OPU9PS8FQ8NRD1H2OTAEJJ421Y,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 14:11:49.33387,1.25,0.44,did_not_attend
13,2019-09-17 14:14:27.506026,,,,,,f,,{},participant,a9655682c18f13aff279a33dd9bbd80b,mturk,13,3DOCMVPBTP2ET1J947DKDOQFXFCNNU,13:3DOCMVPBTP2ET1J947DKDOQFXFCNNU,3MDWE879UIQPG6SOA5J4G80DIBBB9X,live,2019-09-17 14:30:46.759273,1.25,0.48,approved
