id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
2,2019-09-17 12:37:39.372213,,,,,,t,2019-09-17 12:37:46.109968,{},1,3,1
1,2019-09-17 12:37:32.767485,,,,,,t,2019-09-17 12:42:39.003619,{},1,2,1
3,2019-09-17 12:43:14.422702,,,,,,f,,{},1,4,1
4,2019-09-17 12:43:36.522703,,,,,,t,2019-09-17 12:43:45.42584,{},1,5,1
5,2019-09-17 12:51:02.848229,,,,,,f,,{},1,6,1
6,2019-09-17 13:01:57.509575,,,,,,t,2019-09-17 13:07:23.255412,{},1,7,1
7,2019-09-17 13:10:27.109627,,,,,,t,2019-09-17 13:11:01.699077,{},1,8,1
8,2019-09-17 13:23:52.432889,,,,,,t,2019-09-17 13:41:26.443343,{},1,9,1
9,2019-09-17 13:42:19.897448,,,,,,f,,{},1,10,1
10,2019-09-17 13:49:24.056252,,,,,,t,2019-09-17 13:52:43.242074,{},10,11,1
11,2019-09-17 13:49:24.079151,,,,,,t,2019-09-17 13:52:43.250953,{},6,11,1
12,2019-09-17 13:49:24.098112,,,,,,t,2019-09-17 13:52:43.265213,{},4,11,1
13,2019-09-17 14:03:01.257819,,,,,,f,,{},10,12,1
14,2019-09-17 14:03:01.351336,,,,,,f,,{},6,12,1
15,2019-09-17 14:03:01.519959,,,,,,f,,{},4,12,1
16,2019-09-17 14:04:43.232479,,,,,,t,2019-09-17 14:11:50.230636,{},10,13,1
17,2019-09-17 14:04:43.293147,,,,,,t,2019-09-17 14:11:50.239492,{},6,13,1
18,2019-09-17 14:04:43.352447,,,,,,t,2019-09-17 14:11:50.251866,{},4,13,1
19,2019-09-17 14:14:31.34585,,,,,,f,,{},10,14,1
20,2019-09-17 14:14:31.377408,,,,,,f,,{},6,14,1
21,2019-09-17 14:14:31.405689,,,,,,f,,{},4,14,1
22,2019-09-17 14:20:02.526906,,,,,,f,,{},10,15,1
23,2019-09-17 14:20:02.541986,,,,,,f,,{},6,15,1
24,2019-09-17 14:20:02.556591,,,,,,f,,{},4,15,1
