id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-09-16 17:03:35.916395,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-09-16 17:07:00.324159,,,0,,,t,2019-09-16 17:10:19.524236,{},particle,1,1
3,2019-09-16 17:16:08.816277,,,0,,,f,,{},particle,1,2
4,2019-09-16 17:36:58.293672,,,0,,,f,,{},particle,1,3
5,2019-09-16 17:54:23.249847,,,1,,,f,,{},particle,1,4
6,2019-09-16 18:16:28.638937,,,1,,,f,,{},particle,1,5
7,2019-09-16 18:39:42.592586,,,2,,,t,2019-09-16 18:48:03.741548,{},particle,1,6
8,2019-09-16 19:03:49.495587,,,2,,,t,2019-09-16 19:07:16.208098,{},particle,1,7
9,2019-09-16 19:08:07.600337,,,2,,,f,,{},particle,1,8
10,2019-09-16 19:09:52.278903,,,2,,,f,,{},particle,1,9
