id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-09-16 17:03:56.85154,,,,,,f,,{},3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,AssignmentAccepted
2,2019-09-16 17:04:20.127685,,,,,,f,,{},3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,AssignmentAccepted
3,2019-09-16 17:10:19.455398,,,,,,f,,{},3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,AssignmentReturned
4,2019-09-16 17:10:19.47665,,,,,,f,,{},3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,AssignmentAccepted
5,2019-09-16 17:24:16.68948,,,,,,f,,{},3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,AssignmentAccepted
6,2019-09-16 17:24:16.700312,,,,,,f,,{},3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,AssignmentReturned
7,2019-09-16 17:24:50.829764,,,,,,f,,{},3B1NLC6UG1K8MUE0XIDHRTMDV23PGZ,AssignmentSubmitted
8,2019-09-16 17:42:42.444843,,,,,,f,,{},3BXQMRHWK1ML69IIP7A6E4T9Z57MU0,AssignmentSubmitted
9,2019-09-16 17:42:47.952818,,,,,,f,,{},3JAOYWH7VKS3GZCURKE0IVR6MGD9L2,AssignmentAccepted
10,2019-09-16 17:42:52.088647,,,,,,f,,{},3E47SOBEYSK3OWBRI1RES50MBXMCI8,AssignmentAccepted
11,2019-09-16 17:58:07.618199,,,,,,f,,{},3JAOYWH7VKS3GZCURKE0IVR6MGD9L2,AssignmentSubmitted
12,2019-09-16 18:00:16.641606,,,,,,f,,{},3E47SOBEYSK3OWBRI1RES50MBXMCI8,AssignmentReturned
13,2019-09-16 18:00:23.488233,,,,,,f,,{},3E47SOBEYSK3OWBRI1RES50MBXMCI8,AssignmentAccepted
14,2019-09-16 18:22:41.330866,,,,,,f,,{},3E47SOBEYSK3OWBRI1RES50MBXMCI8,AssignmentSubmitted
15,2019-09-16 18:22:53.637928,,,,,,f,,{},3KMS4QQVK4E1X3LP962RDR020EFFK9,AssignmentAccepted
16,2019-09-16 18:22:53.646947,,,,,,f,,{},3COPXFW7XD0DOGAJN9YWPLE62K2PKM,AssignmentAccepted
17,2019-09-16 18:27:40.004247,,,,,,f,,{},3KMS4QQVK4E1X3LP962RDR020EFFK9,AssignmentReturned
18,2019-09-16 18:48:03.682902,,,,,,f,,{},3COPXFW7XD0DOGAJN9YWPLE62K2PKM,AssignmentReturned
19,2019-09-16 18:48:17.873616,,,,,,f,,{},3COPXFW7XD0DOGAJN9YWPLE62K2PKM,AssignmentAccepted
20,2019-09-16 18:58:10.691524,,,,,,f,,{},3KMS4QQVK4E1X3LP962RDR020EFFK9,AssignmentAbandoned
21,2019-09-16 18:58:34.232685,,,,,,f,,{},3KMS4QQVK4E1X3LP962RDR020EFFK9,AssignmentAccepted
22,2019-09-16 19:07:15.114468,,,,,,f,,{},3COPXFW7XD0DOGAJN9YWPLE62K2PKM,AssignmentSubmitted
23,2019-09-16 19:07:19.320534,,,,,,f,,{},3K9FOBBF2J7O51GOSUX50WMQR5RNLC,AssignmentAccepted
24,2019-09-16 19:11:48.608121,,,,,,f,,{},3K9FOBBF2J7O51GOSUX50WMQR5RNLC,AssignmentSubmitted
25,2019-09-16 19:14:40.099483,,,,,,f,,{},3KMS4QQVK4E1X3LP962RDR020EFFK9,AssignmentSubmitted
