id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-09-16 17:07:00.487194,,,,,,t,2019-09-16 17:10:19.563799,{},1,1,1,2,1,2019-09-16 17:07:00.500752,received
2,2019-09-16 17:16:08.888372,,,,,,f,,{},2,2,1,3,1,2019-09-16 17:16:08.901188,received
3,2019-09-16 17:36:58.367168,,,,,,f,,{},3,4,1,4,1,2019-09-16 17:36:58.379791,received
4,2019-09-16 17:54:23.334421,,,,,,f,,{},4,5,4,5,1,2019-09-16 17:54:23.382393,received
5,2019-09-16 17:54:23.366293,,,,,,f,,{},5,3,3,5,1,2019-09-16 17:54:23.38243,received
6,2019-09-16 18:16:29.247361,,,,,,f,,{},6,5,4,6,1,2019-09-16 18:16:29.624578,received
7,2019-09-16 18:16:29.446926,,,,,,f,,{},7,3,3,6,1,2019-09-16 18:16:29.624635,received
8,2019-09-16 18:39:42.722154,,,,,,t,2019-09-16 18:48:03.75621,{},8,7,6,7,1,2019-09-16 18:39:42.768748,received
9,2019-09-16 18:39:42.753153,,,,,,t,2019-09-16 18:48:03.761729,{},9,6,5,7,1,2019-09-16 18:39:42.768795,received
10,2019-09-16 19:03:49.625536,,,,,,t,2019-09-16 19:07:16.23513,{},10,7,6,8,1,2019-09-16 19:03:49.668367,received
11,2019-09-16 19:03:49.650899,,,,,,t,2019-09-16 19:07:16.253911,{},11,6,5,8,1,2019-09-16 19:03:49.668402,received
12,2019-09-16 19:08:07.672728,,,,,,f,,{},12,7,6,9,1,2019-09-16 19:08:07.70369,received
13,2019-09-16 19:08:07.692735,,,,,,f,,{},13,6,5,9,1,2019-09-16 19:08:07.703752,received
14,2019-09-16 19:09:52.522408,,,,,,f,,{},14,7,6,10,1,2019-09-16 19:09:52.582654,received
15,2019-09-16 19:09:52.557142,,,,,,f,,{},15,6,5,10,1,2019-09-16 19:09:52.583101,received
