id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-09-16 17:07:00.376429,,,,,,t,2019-09-16 17:10:19.552369,{},1,2,1
2,2019-09-16 17:16:08.876907,,,,,,f,,{},1,3,1
3,2019-09-16 17:36:58.351688,,,,,,f,,{},1,4,1
4,2019-09-16 17:54:23.318039,,,,,,f,,{},4,5,1
5,2019-09-16 17:54:23.348154,,,,,,f,,{},3,5,1
6,2019-09-16 18:16:29.101757,,,,,,f,,{},4,6,1
7,2019-09-16 18:16:29.312156,,,,,,f,,{},3,6,1
8,2019-09-16 18:39:42.70246,,,,,,t,2019-09-16 18:48:03.752098,{},6,7,1
9,2019-09-16 18:39:42.733884,,,,,,t,2019-09-16 18:48:03.756255,{},5,7,1
10,2019-09-16 19:03:49.607042,,,,,,t,2019-09-16 19:07:16.22509,{},6,8,1
11,2019-09-16 19:03:49.6337,,,,,,t,2019-09-16 19:07:16.235179,{},5,8,1
12,2019-09-16 19:08:07.657691,,,,,,f,,{},6,9,1
13,2019-09-16 19:08:07.680209,,,,,,f,,{},5,9,1
14,2019-09-16 19:09:52.498203,,,,,,f,,{},6,10,1
15,2019-09-16 19:09:52.536471,,,,,,f,,{},5,10,1
