id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2019-09-27 15:16:07.243249,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5MQ6N3,AssignmentAccepted
2,2019-09-27 15:16:07.31237,,,,,,f,,{},3GD6L00D3UL5XCRKNJ0M32OCSL01M0,AssignmentAccepted
3,2019-09-27 15:16:07.495535,,,,,,f,,{},39LNWE0K4WKZAQSR4SCEMBMSM9DUIC,AssignmentAccepted
4,2019-09-27 15:16:08.293918,,,,,,f,,{},34V1S5K3GUPLXE9N4G8YTC990X9967,AssignmentAccepted
5,2019-09-27 15:16:12.180905,,,,,,f,,{},39ZSFO5CAAKV51CXMAXEYC1SZO2UJO,AssignmentAccepted
6,2019-09-27 15:16:14.644377,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAccepted
7,2019-09-27 15:16:14.674862,,,,,,f,,{},3AMYWKA6YDAO41DT65RGQ24YVWV6OI,AssignmentAccepted
8,2019-09-27 15:16:14.686446,,,,,,f,,{},36NEMU28XH1YYD7NK7P7WSE6OY8MWJ,AssignmentAccepted
9,2019-09-27 15:16:14.787578,,,,,,f,,{},3CCZ6YKWR97PEA99ZXYT16V942Y95R,AssignmentAccepted
10,2019-09-27 15:16:14.809773,,,,,,f,,{},3X31TUMD7ZALRU9ZN7Z73P9NSGA1LY,AssignmentAccepted
11,2019-09-27 15:21:25.624756,,,,,,f,,{},36NEMU28XH1YYD7NK7P7WSE6OY8MWJ,AssignmentSubmitted
12,2019-09-27 15:21:25.63437,,,,,,f,,{},39ZSFO5CAAKV51CXMAXEYC1SZO2UJO,AssignmentSubmitted
13,2019-09-27 15:21:36.565783,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentAccepted
14,2019-09-27 15:21:50.0697,,,,,,f,,{},34V1S5K3GUPLXE9N4G8YTC990X9967,AssignmentSubmitted
15,2019-09-27 15:21:57.595405,,,,,,f,,{},36TFCYNS46YRVZB23F5G66KHGEIXHH,AssignmentAccepted
16,2019-09-27 15:22:13.265499,,,,,,f,,{},3CCZ6YKWR97PEA99ZXYT16V942Y95R,AssignmentReturned
17,2019-09-27 15:22:16.941899,,,,,,f,,{},3CCZ6YKWR97PEA99ZXYT16V942Y95R,AssignmentAccepted
18,2019-09-27 15:23:28.317448,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5MQ6N3,AssignmentReturned
19,2019-09-27 15:23:28.360393,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5MQ6N3,AssignmentAccepted
20,2019-09-27 15:24:44.917619,,,,,,f,,{},39LNWE0K4WKZAQSR4SCEMBMSM9DUIC,AssignmentSubmitted
21,2019-09-27 15:24:58.575931,,,,,,f,,{},3X31TUMD7ZALRU9ZN7Z73P9NSGA1LY,AssignmentSubmitted
22,2019-09-27 15:25:06.640304,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentReturned
23,2019-09-27 15:25:17.109851,,,,,,f,,{},3AMYWKA6YDAO41DT65RGQ24YVWV6OI,AssignmentSubmitted
24,2019-09-27 15:25:28.956922,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentAccepted
25,2019-09-27 15:27:56.146079,,,,,,f,,{},36TFCYNS46YRVZB23F5G66KHGEIXHH,AssignmentSubmitted
26,2019-09-27 15:28:13.528655,,,,,,f,,{},3Z7EFSHGNB20ER0MHNRFVFN13MHCXR,AssignmentAccepted
27,2019-09-27 15:28:31.69355,,,,,,f,,{},3GD6L00D3UL5XCRKNJ0M32OCSL01M0,AssignmentSubmitted
28,2019-09-27 15:28:35.69644,,,,,,f,,{},378XPAWRUE1FVHETYNVNMAAYF6SIAV,AssignmentAccepted
29,2019-09-27 15:33:34.7133,,,,,,f,,{},3Z7EFSHGNB20ER0MHNRFVFN13MHCXR,AssignmentSubmitted
30,2019-09-27 15:33:44.069183,,,,,,f,,{},3WAKVUDHUY42L6BVL18HVMWJ8TBU7Q,AssignmentAccepted
31,2019-09-27 15:36:21.404891,,,,,,f,,{},35USIKEBNT46MGDH5QR3BD4T5MQ6N3,AssignmentSubmitted
32,2019-09-27 15:37:22.111449,,,,,,f,,{},3CCZ6YKWR97PEA99ZXYT16V942Y95R,AssignmentSubmitted
33,2019-09-27 15:39:36.344264,,,,,,f,,{},378XPAWRUE1FVHETYNVNMAAYF6SIAV,AssignmentSubmitted
34,2019-09-27 15:40:14.922484,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAbandoned
35,2019-09-27 15:40:35.06063,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAccepted
36,2019-09-27 15:43:45.895627,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentAccepted
37,2019-09-27 15:45:41.475072,,,,,,f,,{},3WAKVUDHUY42L6BVL18HVMWJ8TBU7Q,AssignmentSubmitted
38,2019-09-27 15:46:35.212809,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAccepted
39,2019-09-27 15:46:35.830607,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentReturned
40,2019-09-27 15:49:33.399437,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentAbandoned
41,2019-09-27 15:49:36.159178,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentAccepted
42,2019-09-27 15:52:41.329171,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentReturned
43,2019-09-27 15:52:41.50511,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentAccepted
44,2019-09-27 15:53:58.523235,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2SQREKB,AssignmentAccepted
45,2019-09-27 15:55:00.725915,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2SQREKB,AssignmentReturned
46,2019-09-27 15:55:17.594837,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2SQREKB,AssignmentAccepted
47,2019-09-27 15:56:32.668777,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentReturned
48,2019-09-27 15:56:37.47924,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAccepted
49,2019-09-27 15:58:52.955242,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentAccepted
50,2019-09-27 16:00:34.787852,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentAccepted
51,2019-09-27 16:00:34.794393,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentReturned
52,2019-09-27 16:00:41.805983,,,,,,f,,{},3X65QVEQI2B5EXJX34ORKLSEWEMCLM,AssignmentAccepted
53,2019-09-27 16:01:26.845152,,,,,,f,,{},3X65QVEQI2B5EXJX34ORKLSEWEMCLM,AssignmentReturned
54,2019-09-27 16:02:17.634824,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentReturned
55,2019-09-27 16:02:17.683159,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentAccepted
56,2019-09-27 16:02:21.449663,,,,,,f,,{},3LRKMWOKB75CL48ZLCQUGNUQZVYZ2Y,AssignmentSubmitted
57,2019-09-27 16:02:39.092117,,,,,,f,,{},3F6HPJW4JFO8R93UAP6NHJ08ITRW22,AssignmentAccepted
58,2019-09-27 16:03:25.850163,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentReturned
59,2019-09-27 16:03:41.83992,,,,,,f,,{},38BQUHLA9YOQT4YLTLYXFY1KLXUMOU,AssignmentAccepted
60,2019-09-27 16:04:59.206589,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentReturned
61,2019-09-27 16:05:10.897455,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentAccepted
62,2019-09-27 16:10:39.915937,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentReturned
63,2019-09-27 16:11:14.764018,,,,,,f,,{},3AAPLD8UCE5KEI2IY54JH3ZB3I4TH4,AssignmentAccepted
64,2019-09-27 16:13:03.9776,,,,,,f,,{},32Q90QCQ1U99RPLTEVILV9F2SQREKB,AssignmentReturned
65,2019-09-27 16:14:07.647785,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentAccepted
66,2019-09-27 16:15:24.342778,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentReturned
67,2019-09-27 16:15:46.440542,,,,,,f,,{},3LRLIPTPESX61C4HYQGZZQPB7B1KAU,AssignmentAccepted
68,2019-09-27 16:16:13.980334,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentReturned
69,2019-09-27 16:16:35.261186,,,,,,f,,{},3HL8HNGX47PHG72Y59B2NIMMTXYF94,AssignmentAccepted
