id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,network_id,participant_id
1,2019-09-30 14:12:55.384369,,,,,,f,,{},war_of_the_ghosts_source,1,
2,2019-09-30 14:12:55.397584,,,,,,f,,{},war_of_the_ghosts_source,2,
3,2019-09-30 14:12:55.408884,,,,,,f,,{},war_of_the_ghosts_source,3,
4,2019-09-30 14:12:55.422727,,,,,,f,,{},war_of_the_ghosts_source,4,
5,2019-09-30 14:12:55.436373,,,,,,f,,{},war_of_the_ghosts_source,5,
6,2019-09-30 14:14:47.021679,,,0,,3,f,,{},particle,4,1
7,2019-09-30 14:14:51.855116,,,0,,4,f,,{},particle,5,2
27,2019-09-30 15:06:59.840524,,,0,,1,f,,{},particle,2,22
28,2019-09-30 15:07:25.138683,,,0,,1,f,,{},particle,2,24
74,2019-09-30 17:35:55.92698,,,3,,3,f,,{},particle,4,69
29,2019-09-30 15:07:29.231296,,,0,,3,f,,{},particle,4,23
10,2019-09-30 14:17:54.865619,,,0,,2,f,,{},particle,3,5
8,2019-09-30 14:16:29.940163,,,0,,1,t,2019-09-30 14:18:36.559787,{},particle,2,3
72,2019-09-30 17:32:04.077674,,,3,,2,t,2019-09-30 17:36:04.771026,{},particle,3,68
30,2019-09-30 15:21:50.508508,,,0,,0,f,,{},particle,1,25
12,2019-09-30 14:19:56.830344,,,0,,2,f,,{},particle,3,8
13,2019-09-30 14:20:26.281973,,,0,,3,f,,{},particle,4,7
31,2019-09-30 15:43:37.441108,,,0,,4,f,,{},particle,5,26
75,2019-09-30 17:38:20.840664,,,3,,2,f,,{},particle,3,70
14,2019-09-30 14:22:09.185602,,,0,,1,t,2019-09-30 14:23:01.725489,{},particle,2,9
46,2019-09-30 16:09:22.60305,,,1,,1,f,,{},particle,2,41
11,2019-09-30 14:18:44.463424,,,0,,1,t,2019-09-30 14:23:59.600299,{},particle,2,6
33,2019-09-30 15:51:46.596001,,,1,,4,f,,{},particle,5,29
34,2019-09-30 15:51:46.953261,,,1,,1,f,,{},particle,2,27
17,2019-09-30 14:25:16.943816,,,0,,4,f,,{},particle,5,12
76,2019-09-30 17:42:42.307068,,,3,,0,f,,{},particle,1,71
35,2019-09-30 15:52:08.519444,,,1,,3,f,,{},particle,4,30
19,2019-09-30 14:26:44.596973,,,0,,2,f,,{},particle,3,14
9,2019-09-30 14:17:43.92935,,,0,,0,t,2019-09-30 14:27:42.678009,{},particle,1,4
18,2019-09-30 14:26:31.194722,,,0,,1,t,2019-09-30 14:27:46.133517,{},particle,2,13
36,2019-09-30 15:54:09.77658,,,1,,2,f,,{},particle,3,31
77,2019-09-30 17:45:06.961986,,,3,,2,f,,{},particle,3,72
38,2019-09-30 15:54:33.076278,,,1,,4,f,,{},particle,5,33
78,2019-09-30 17:49:42.782664,,,3,,4,f,,{},particle,5,73
23,2019-09-30 14:32:18.517529,,,0,,1,f,,{},particle,2,18
16,2019-09-30 14:24:01.535368,,,0,,1,t,2019-09-30 14:32:23.804315,{},particle,2,11
15,2019-09-30 14:23:58.481212,,,0,,0,t,2019-09-30 14:32:24.574462,{},particle,1,10
21,2019-09-30 14:30:07.632572,,,0,,1,t,2019-09-30 14:32:25.693601,{},particle,2,16
20,2019-09-30 14:29:47.925279,,,0,,0,t,2019-09-30 14:32:26.486976,{},particle,1,15
39,2019-09-30 15:54:53.373946,,,1,,0,f,,{},particle,1,34
24,2019-09-30 14:35:49.068179,,,0,,0,f,,{},particle,1,19
22,2019-09-30 14:32:00.419557,,,0,,3,t,2019-09-30 14:37:26.493982,{},particle,4,17
32,2019-09-30 15:51:38.001903,,,1,,0,t,2019-09-30 15:55:43.829047,{},particle,1,28
25,2019-09-30 14:39:21.537821,,,0,,0,f,,{},particle,1,20
40,2019-09-30 15:56:25.890603,,,1,,3,f,,{},particle,4,35
26,2019-09-30 14:45:24.27736,,,0,,1,t,2019-09-30 14:52:30.899823,{},particle,2,21
41,2019-09-30 15:56:28.265763,,,1,,0,f,,{},particle,1,36
79,2019-09-30 17:51:56.769326,,,3,,1,f,,{},particle,2,74
42,2019-09-30 15:57:16.687957,,,1,,1,f,,{},particle,2,37
37,2019-09-30 15:54:10.792277,,,1,,2,t,2019-09-30 15:57:48.046638,{},particle,3,32
43,2019-09-30 15:59:43.034334,,,1,,2,f,,{},particle,3,38
44,2019-09-30 16:02:38.604618,,,1,,0,f,,{},particle,1,39
80,2019-09-30 17:55:36.304211,,,3,,2,f,,{},particle,3,75
45,2019-09-30 16:05:05.803603,,,1,,3,t,2019-09-30 16:08:41.13227,{},particle,4,40
47,2019-09-30 16:10:38.713643,,,1,,2,f,,{},particle,3,42
81,2019-09-30 17:56:33.586785,,,3,,0,f,,{},particle,1,76
48,2019-09-30 16:16:46.491648,,,1,,4,f,,{},particle,5,43
49,2019-09-30 16:20:15.552495,,,1,,3,f,,{},particle,4,44
50,2019-09-30 16:31:14.611067,,,2,,0,f,,{},particle,1,45
82,2019-09-30 18:00:08.85977,,,3,,3,f,,{},particle,4,77
51,2019-09-30 16:31:17.811528,,,2,,4,f,,{},particle,5,46
52,2019-09-30 16:31:35.248267,,,2,,3,f,,{},particle,4,47
53,2019-09-30 16:31:49.480118,,,2,,2,f,,{},particle,3,48
83,2019-09-30 18:10:41.105851,,,3,,4,f,,{},particle,5,78
54,2019-09-30 16:32:44.113698,,,2,,1,f,,{},particle,2,49
55,2019-09-30 16:33:19.638378,,,2,,4,f,,{},particle,5,50
