id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
1,2019-09-30 14:14:35.700028,,,,,,f,,{},participant,7d242694d7947d414587c3a4c22948c9,mturk,1,3O7L7BFSHGDILUV5ESX9IT0P1ITEIK,1:3O7L7BFSHGDILUV5ESX9IT0P1ITEIK,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:17:51.582558,1.15,0.98,approved
3,2019-09-30 14:16:22.003662,,,,,,f,,{},participant,f2c8e24b9d9b666146e8ec5e80d60ae5,mturk,3,3KKG4CDWKKM7IR59LSFJWEPV53C49L,3:3KKG4CDWKKM7IR59LSFJWEPV53C49L,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:18:36.551463,,,returned
6,2019-09-30 14:18:39.628548,,,,,,f,,{},participant,ff9dad88c44c2412ce3d5f6c1c7d4123,mturk,6,3LBXNTKX0TJYGTTJ53HOTPMTYYH9X5,6:3LBXNTKX0TJYGTTJ53HOTPMTYYH9X5,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:23:59.04645,1.15,0.24,did_not_attend
9,2019-09-30 14:22:03.815135,,,,,,f,,{},participant,66c2f1a84a791118ab895de767b75588,mturk,9,3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,9:3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:23:01.71997,,,returned
16,2019-09-30 14:30:05.216602,,,,,,f,,{},participant,6bacdee85a93a4af45e4f299b4fd1445,mturk,16,3QECW5O0KJP8YPINX33AS6WLZ7GT5N,16:3QECW5O0KJP8YPINX33AS6WLZ7GT5N,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:32:23.306649,1.15,0.24,did_not_attend
2,2019-09-30 14:14:36.297351,,,,,,f,,{},participant,824f3dae888db5deab359b71b4d2ee45,mturk,2,3RKNTXVS3OMLNAFEDYTJS90FBLU4A0,2:3RKNTXVS3OMLNAFEDYTJS90FBLU4A0,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:23:02.401556,1.15,0.98,approved
95,2019-09-30 18:58:18.027286,,,,,,f,,{},participant,33f4ab2e9312c36aef9a150630925ee4,mturk,95,3R2PKQ87NYWGXINIVQLSV15YANOIMN,95:3R2PKQ87NYWGXINIVQLSV15YANOIMN,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 19:04:31.351163,,,returned
4,2019-09-30 14:17:19.917881,,,,,,f,,{},participant,f3c81fb9b79582c3066801c0960296a3,mturk,4,33LK57MYLVT5Q3PXFR50757UYM3ZS2,4:33LK57MYLVT5Q3PXFR50757UYM3ZS2,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:27:42.086364,1.15,0.24,did_not_attend
13,2019-09-30 14:26:09.443368,,,,,,f,,{},participant,2dd90eeb043063d88e1ca10965284674,mturk,13,3PZDLQMM0V9ZDBXPTY6M5PT5RAJC2E,13:3PZDLQMM0V9ZDBXPTY6M5PT5RAJC2E,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:27:46.129102,,,returned
99,2019-09-30 20:57:08.496044,,,,,,f,,{},participant,f2da37abe5ed15c3b324e1c055cf75db,mturk,99,30BUDKLTXFJ6960Q78EFTKWKW0YE5T,99:30BUDKLTXFJ6960Q78EFTKWKW0YE5T,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 21:20:54.615216,,,abandoned
5,2019-09-30 14:17:48.756075,,,,,,f,,{},participant,ca1797288f88f095d48afbb9af503717,mturk,5,33PPUNGG3ATTPOPK025VHV2YCKKZRE,5:33PPUNGG3ATTPOPK025VHV2YCKKZRE,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:23:42.117822,1.15,0.98,approved
8,2019-09-30 14:19:47.519365,,,,,,f,,{},participant,eaa4a18c2da146f3317289740ad2880b,mturk,8,3OLQQLKKNUDEG5FBWAI9UUFPEXIEJW,8:3OLQQLKKNUDEG5FBWAI9UUFPEXIEJW,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:25:18.206761,1.15,0.98,approved
18,2019-09-30 14:32:01.3079,,,,,,f,,{},participant,ca7b5a580bc3f4ff74007b8c7169a574,mturk,18,3RRCEFRB7O0Q6KK6JCTFNKKLT3F4BV,18:3RRCEFRB7O0Q6KK6JCTFNKKLT3F4BV,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:36:43.807134,1.15,0.98,approved
7,2019-09-30 14:19:35.09832,,,,,,f,,{},participant,412d93588b3ed90cf85fe38f6618e1ef,mturk,7,3KKG4CDWKKM7IR59LSFJWEPV53C49L,7:3KKG4CDWKKM7IR59LSFJWEPV53C49L,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:25:51.36032,1.15,0.98,approved
12,2019-09-30 14:25:02.48893,,,,,,f,,{},participant,61f0010bcdffdf5eb50bb467d68dd148,mturk,12,3B837J3LDQKWOC365ABNL25VP6PSR9,12:3B837J3LDQKWOC365ABNL25VP6PSR9,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:29:07.342892,1.15,0.98,approved
15,2019-09-30 14:29:40.719461,,,,,,f,,{},participant,3450e5d88ed0087ef1dc8621b514990c,mturk,15,3PZDLQMM0V9ZDBXPTY6M5PT5RAJC2E,15:3PZDLQMM0V9ZDBXPTY6M5PT5RAJC2E,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:32:24.096071,1.15,0.24,did_not_attend
11,2019-09-30 14:23:38.423811,,,,,,f,,{},participant,3ae91a45987e1b106ebf119141996b90,mturk,11,3WR9XG3T65Z348HG6VHZIIYPADO74C,11:3WR9XG3T65Z348HG6VHZIIYPADO74C,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:32:23.290543,1.15,0.24,did_not_attend
14,2019-09-30 14:26:23.293082,,,,,,f,,{},participant,62b4090496a10d86fa91e191e4a31753,mturk,14,3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,14:3QJOXOW4XLF4HDLWZ7V1AM76IRDEM0,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:32:23.684388,1.15,0.98,approved
17,2019-09-30 14:31:55.194592,,,,,,f,,{},participant,df8f80b251629011efbfa4057acbbfaf,mturk,17,32Q90QCQ1U99RPLTEVILV9F2TMIEKV,17:32Q90QCQ1U99RPLTEVILV9F2TMIEKV,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:37:26.486426,,,abandoned
10,2019-09-30 14:23:03.631219,,,,,,f,,{},participant,8aa0d0bdb1e11a1b864464436bcfda14,mturk,10,3NAPMVF0ZY3T1U2T2HYBP31RQZS72G,10:3NAPMVF0ZY3T1U2T2HYBP31RQZS72G,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:32:24.019223,1.15,0.24,did_not_attend
19,2019-09-30 14:35:36.57025,,,,,,f,,{},participant,fe181d52ebd9093e9a6000fc09760aea,mturk,19,379J5II41Q4KBV3BZVUMA9SHIMNELY,19:379J5II41Q4KBV3BZVUMA9SHIMNELY,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:47:46.816293,1.15,0.98,approved
20,2019-09-30 14:38:48.6694,,,,,,f,,{},participant,f9a830893043148a2837c9af5cc1a2d0,mturk,20,3FIJLY1B6WS28UI5MY7Z98M1ZYBPFZ,20:3FIJLY1B6WS28UI5MY7Z98M1ZYBPFZ,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:52:30.176427,1.15,0.98,approved
23,2019-09-30 15:07:05.794314,,,,,,f,,{},participant,50afb69600fbc7dbe6cc7579344aa1a7,mturk,23,32Q90QCQ1U99RPLTEVILV9F2TMIEKV,23:32Q90QCQ1U99RPLTEVILV9F2TMIEKV,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:11:59.824352,1.15,0.98,approved
21,2019-09-30 14:45:02.152682,,,,,,f,,{},participant,fee6aa7161d45a13a240553d82e0610f,mturk,21,3Z7EFSHGNB20ER0MHNRFVFN14KSXCK,21:3Z7EFSHGNB20ER0MHNRFVFN14KSXCK,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 14:52:30.227032,1.15,0.24,did_not_attend
24,2019-09-30 15:07:15.414423,,,,,,f,,{},participant,9ef335faaba84ffe73872fbd05d1c991,mturk,24,3WLEIWSYHQ5QUJ85FQKNGGQL4362HX,24:3WLEIWSYHQ5QUJ85FQKNGGQL4362HX,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:12:24.780592,1.15,0.98,approved
22,2019-09-30 15:06:41.501837,,,,,,f,,{},participant,e8d48aa8a8618b9e422b0bf059fbce59,mturk,22,37Z929RLGBW94RGY9ZGILH6DDRQSTQ,22:37Z929RLGBW94RGY9ZGILH6DDRQSTQ,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:18:07.947592,1.15,0.98,approved
25,2019-09-30 15:21:21.885686,,,,,,f,,{},participant,9c64c9f1765bb6cb6a3b2a1c3831e27d,mturk,25,340UGXU9D0P4WWCR3ZBX10CMV9RUVO,25:340UGXU9D0P4WWCR3ZBX10CMV9RUVO,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:32:50.062898,1.15,0.98,approved
26,2019-09-30 15:43:21.029995,,,,,,f,,{},participant,6d6557a7b3d1f2f0bffdf063a5e1f33b,mturk,26,3KIBXJ1WD7IV3GYI89LH0L9GXP3KOM,26:3KIBXJ1WD7IV3GYI89LH0L9GXP3KOM,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:50:19.035286,1.15,0.98,approved
55,2019-09-30 16:48:37.053763,,,,,,f,,{},participant,80aa4cd6e4845f995c26684b051ec670,mturk,55,3IHR8NYAM9PSAELG2HBGI4PAA914PR,55:3IHR8NYAM9PSAELG2HBGI4PAA914PR,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 16:53:19.608128,1.15,0.52,approved
77,2019-09-30 17:59:09.664777,,,,,,f,,{},participant,b4eaa5a01ff05e56575c9e79b219ff23,mturk,77,3IKZ72A5B642596S6JU75JH6ZKPNFI,77:3IKZ72A5B642596S6JU75JH6ZKPNFI,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 18:07:28.707029,1.15,0.33,approved
30,2019-09-30 15:51:46.625625,,,,,,f,,{},participant,c10daa435c8adcd30759e99fdf6d5a06,mturk,30,3QEMNNSB2ZNG4409Z6ISLMSVNRC7DM,30:3QEMNNSB2ZNG4409Z6ISLMSVNRC7DM,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 15:57:29.537292,1.15,0.25,approved
46,2019-09-30 16:31:11.072266,,,,,,f,,{},participant,042522e20c19091ac1187c29be3b352e,mturk,46,3IXQG4FA2VMR3QQI07P64SV1FX0B99,46:3IXQG4FA2VMR3QQI07P64SV1FX0B99,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 16:36:59.63538,1.15,0.52,approved
71,2019-09-30 17:42:24.041026,,,,,,f,,{},participant,38693fe5d6616bad7e9a9bbb4c52cd21,mturk,71,34Q075JO1Z18UYKDYEDO55HZQHW01K,71:34Q075JO1Z18UYKDYEDO55HZQHW01K,3IHWR4LC7E1ZP9NKBN572Z9FUO68IU,live,2019-09-30 17:47:43.892707,1.15,0.2,approved
