id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,participant_id,number,question,response
1,2019-09-30 14:17:34.443919,,,,,,f,,{},question,1,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""8"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""no""}"
2,2019-09-30 14:22:12.525431,,,,,,f,,{},question,2,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""age"":""3"",""ideology"":""10"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""no"",""confusion"":""no""}"
3,2019-09-30 14:23:27.499588,,,,,,f,,{},question,5,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""6"",""engagement"":""9"",""difficulty"":""7"",""technical_issues"":""none"",""confusion"":""no, thank you!""}"
4,2019-09-30 14:23:38.168731,,,,,,f,,{},question,6,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""2"",""engagement"":""10"",""difficulty"":""4"",""technical_issues"":""no"",""confusion"":""No""}"
5,2019-09-30 14:25:05.864726,,,,,,f,,{},question,8,1,questionnaire,"{""language"":""Yes"",""education"":""5"",""age"":""1"",""ideology"":""6"",""engagement"":""10"",""difficulty"":""2"",""technical_issues"":""No."",""confusion"":""No.""}"
6,2019-09-30 14:25:32.956062,,,,,,f,,{},question,7,1,questionnaire,"{""language"":""Yes"",""education"":""3"",""ideology"":""5"",""engagement"":""10"",""difficulty"":""5"",""technical_issues"":""no problems"",""confusion"":""no confussion""}"
7,2019-09-30 14:27:14.552631,,,,,,f,,{},question,4,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""2"",""ideology"":""8"",""engagement"":""10"",""difficulty"":""6"",""technical_issues"":""No issues"",""confusion"":""Nothing confusing""}"
8,2019-09-30 14:28:53.641156,,,,,,f,,{},question,12,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""4"",""engagement"":""5"",""difficulty"":""6"",""technical_issues"":"""",""confusion"":""""}"
9,2019-09-30 14:31:39.224266,,,,,,f,,{},question,16,1,questionnaire,"{""language"":""Yes"",""education"":""7"",""age"":""1"",""ideology"":""5"",""engagement"":""5"",""difficulty"":""5"",""technical_issues"":""no"",""confusion"":""""}"
10,2019-09-30 14:31:54.773959,,,,,,f,,{},question,15,1,questionnaire,"{""language"":""Yes"",""education"":""4"",""age"":""2"",""ideology"":""9"",""engagement"":""9"",""difficulty"":""10"",""technical_issues"":""No"",""confusion"":""no""}"
11,2019-09-30 14:31:57.493714,,,,,,f,,{},question,14,1,questionnaire,"{""language"":""Yes"",""education"":""6"",""age"":""1"",""ideology"":""9"",""engagement"":""9"",""difficulty"":""3"",""technical_issues"":""No"",""confusion"":""No""}"
