id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,vector_id,info_id,origin_id,destination_id,network_id,receive_time,status
1,2019-09-30 14:14:47.107781,,,,,,f,,{},1,1,4,6,4,2019-09-30 14:14:47.120346,received
2,2019-09-30 14:14:51.950869,,,,,,f,,{},2,2,5,7,5,2019-09-30 14:14:51.97736,received
51,2019-09-30 15:56:26.056738,,,,,,f,,{},51,4,6,40,4,2019-09-30 15:56:26.127689,received
52,2019-09-30 15:56:26.077094,,,,,,f,,{},52,42,29,40,4,2019-09-30 15:56:26.127727,received
53,2019-09-30 15:56:26.112516,,,,,,f,,{},53,17,13,40,4,2019-09-30 15:56:26.127756,received
5,2019-09-30 14:17:54.979093,,,,,,f,,{},5,6,3,10,3,2019-09-30 14:17:54.99965,received
3,2019-09-30 14:16:30.157321,,,,,,t,2019-09-30 14:18:36.599868,{},3,3,2,8,2,2019-09-30 14:16:30.195504,received
54,2019-09-30 15:56:28.349864,,,,,,f,,{},54,46,30,41,1,2019-09-30 15:56:28.4198,received
7,2019-09-30 14:19:57.027835,,,,,,f,,{},7,8,3,12,3,2019-09-30 14:19:57.059685,received
55,2019-09-30 15:56:28.378898,,,,,,f,,{},55,36,24,41,1,2019-09-30 15:56:28.419836,received
8,2019-09-30 14:20:26.383432,,,,,,f,,{},8,9,4,13,4,2019-09-30 14:20:26.401011,received
56,2019-09-30 15:56:28.406325,,,,,,f,,{},56,37,25,41,1,2019-09-30 15:56:28.419863,received
9,2019-09-30 14:22:09.342585,,,,,,t,2019-09-30 14:23:01.759813,{},9,11,2,14,2,2019-09-30 14:22:09.363196,received
6,2019-09-30 14:18:44.546702,,,,,,t,2019-09-30 14:23:59.616201,{},6,7,2,11,2,2019-09-30 14:18:44.56291,received
57,2019-09-30 15:57:17.008713,,,,,,f,,{},57,44,27,42,2,2019-09-30 15:57:17.181829,received
58,2019-09-30 15:57:17.081919,,,,,,f,,{},58,43,28,42,2,2019-09-30 15:57:17.181883,received
59,2019-09-30 15:57:17.13369,,,,,,f,,{},59,32,23,42,2,2019-09-30 15:57:17.181918,received
12,2019-09-30 14:25:17.100483,,,,,,f,,{},12,18,5,17,5,2019-09-30 14:25:17.13289,received
42,2019-09-30 15:54:11.197701,,,,,,t,2019-09-30 15:57:48.058034,{},42,13,10,37,3,2019-09-30 15:54:11.574691,received
43,2019-09-30 15:54:11.29308,,,,,,t,2019-09-30 15:57:48.062565,{},43,16,12,37,3,2019-09-30 15:54:11.574742,received
44,2019-09-30 15:54:11.481407,,,,,,t,2019-09-30 15:57:48.067238,{},44,28,19,37,3,2019-09-30 15:54:11.574811,received
14,2019-09-30 14:26:44.701877,,,,,,f,,{},14,21,3,19,3,2019-09-30 14:26:44.716605,received
4,2019-09-30 14:17:44.023055,,,,,,t,2019-09-30 14:27:42.700082,{},4,5,1,9,1,2019-09-30 14:17:44.039367,received
