id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
1,2019-09-30 14:14:47.089799,,,,,,f,,{},4,6,4
2,2019-09-30 14:14:51.922454,,,,,,f,,{},5,7,5
5,2019-09-30 14:17:54.958172,,,,,,f,,{},3,10,3
3,2019-09-30 14:16:30.090016,,,,,,t,2019-09-30 14:18:36.586078,{},2,8,2
7,2019-09-30 14:19:56.994717,,,,,,f,,{},3,12,3
8,2019-09-30 14:20:26.361484,,,,,,f,,{},4,13,4
9,2019-09-30 14:22:09.327131,,,,,,t,2019-09-30 14:23:01.744139,{},2,14,2
6,2019-09-30 14:18:44.532445,,,,,,t,2019-09-30 14:23:59.61137,{},2,11,2
12,2019-09-30 14:25:17.06026,,,,,,f,,{},5,17,5
14,2019-09-30 14:26:44.681372,,,,,,f,,{},3,19,3
4,2019-09-30 14:17:44.000406,,,,,,t,2019-09-30 14:27:42.693601,{},1,9,1
13,2019-09-30 14:26:31.49878,,,,,,t,2019-09-30 14:27:46.144309,{},2,18,2
18,2019-09-30 14:32:18.636757,,,,,,f,,{},2,23,2
11,2019-09-30 14:24:01.630996,,,,,,t,2019-09-30 14:32:23.81564,{},2,16,2
10,2019-09-30 14:23:58.578098,,,,,,t,2019-09-30 14:32:24.584495,{},1,15,1
16,2019-09-30 14:30:07.720732,,,,,,t,2019-09-30 14:32:25.73148,{},2,21,2
15,2019-09-30 14:29:48.116721,,,,,,t,2019-09-30 14:32:26.529779,{},1,20,1
19,2019-09-30 14:35:49.172639,,,,,,f,,{},1,24,1
17,2019-09-30 14:32:00.64692,,,,,,t,2019-09-30 14:37:26.511198,{},4,22,4
20,2019-09-30 14:39:21.666418,,,,,,f,,{},1,25,1
21,2019-09-30 14:45:24.36309,,,,,,t,2019-09-30 14:52:30.909556,{},2,26,2
22,2019-09-30 15:06:59.956226,,,,,,f,,{},2,27,2
23,2019-09-30 15:07:25.223224,,,,,,f,,{},2,28,2
24,2019-09-30 15:07:29.412279,,,,,,f,,{},4,29,4
25,2019-09-30 15:21:50.657707,,,,,,f,,{},1,30,1
26,2019-09-30 15:43:37.664435,,,,,,f,,{},5,31,5
30,2019-09-30 15:51:46.695619,,,,,,f,,{},7,33,5
31,2019-09-30 15:51:46.728193,,,,,,f,,{},31,33,5
32,2019-09-30 15:51:46.75281,,,,,,f,,{},17,33,5
33,2019-09-30 15:51:47.188043,,,,,,f,,{},27,34,2
34,2019-09-30 15:51:47.313663,,,,,,f,,{},28,34,2
35,2019-09-30 15:51:47.47275,,,,,,f,,{},23,34,2
36,2019-09-30 15:52:08.616711,,,,,,f,,{},6,35,4
37,2019-09-30 15:52:08.662511,,,,,,f,,{},29,35,4
38,2019-09-30 15:52:08.692424,,,,,,f,,{},13,35,4
39,2019-09-30 15:54:09.986857,,,,,,f,,{},10,36,3
40,2019-09-30 15:54:10.051026,,,,,,f,,{},12,36,3
41,2019-09-30 15:54:10.112329,,,,,,f,,{},19,36,3
45,2019-09-30 15:54:33.226716,,,,,,f,,{},7,38,5
46,2019-09-30 15:54:33.281401,,,,,,f,,{},31,38,5
47,2019-09-30 15:54:33.325929,,,,,,f,,{},17,38,5
48,2019-09-30 15:54:53.525054,,,,,,f,,{},30,39,1
