generation,generation_size,participant_id,read_multiple_versions,replication,response
0,3,1,0,3,"We could die from antibacterial resistance. if we don't control this problem by 2050, over 10 million people could die from this resistance in a year."
0,3,2,0,4,"Since 1928, when penicillin was first introduced, we have had a hold on infections that had took so many lives before. Now, super bugs and resistence to antibiotics, have more people are dying. We need to not give antibiotics out for every little sneeze or sniffle. It is making it much harder to fight the bacteria and if we are not careful, by 2050 more people than New York City will be dying. "
0,3,5,0,2,"through history, people did not die of heart disease and cancer, and other despises common today. Most people died before they could develop them. People died in war or in accidents. Many people died of infections as well.
once penicillin was discovered people began making antibiotics and a lot of people were saved. 
for 100 years we have been making new antibiotics to fight bacteria, but recently bacteria have become resistant to all of our antibiotic drugs. hundreds of thousand people a year die from resistant bacteria, and by 2050 the numbers could be in the millions per year. "
0,3,8,0,2,Antibiotics are reaching the end of their effectiveness. For years humans have used antibiotics for every infection and the bacteria have started developing resistances to it. Now they are starting to become resistant to all antibiotics which is causing people to die from infections that were once under control. We can curb this by slowing down our use of antibiotics which will hopefully also slowdown the rate of adaption by bacterial microbes.
0,3,7,0,3,This passage was the pro's and con's of medicine. This is really about humans becoming anti resistant to antibotics and the effects it can have by 2050 we could lose up to 10 million people.
0,3,12,0,4,"antiobiotics were not around in the past so people died of injuries, but now antibiotics have been invented by Fleming and it can cure a lot of things that were killing people. But there has been superbugs that resist antibiotics so now it seems like the time for antibiotics is ending and the world populiation will die at a rate of 10 million per year"
0,3,14,0,2,"Hundreds of years ago people didn't die of common causes today such as cancer and heart disease. They died from injuries, from battle or from infections from bacteria.

Pharmaceutical companies develop antibiotics to deal with bacteria infections. However, bacteria are able to gain resistance to these infections. This could lead to a future epidemic by the year 2050. Currently there are 700,000 deaths per year due to this epidemic. But it is estimated that if this isn't controlled that could skyrocket to 10 million per year."
0,3,26,0,4,"In the olden days, people wouldn't die of cancer or heart disease like we do today, mostly because they didn't live long enough to develop those diseases. They would die by being crushed in industrial accidents in one of the few factories around at that time, or mauled to death by an ox or from injury or infection. Since the development of antibiotics in 1928, people have lived a lot longer becuase we could treat those infections with this new regimen. 12-15% of allied soldiers were estimated to be saved from infection using antibiotics. We are now seeing a reversal of that after 70 years. Our bodies are becoming resistant to the antibiotics and a lot of the drugs will no longer work. An estimated 50 thousand people die from infections worldwide currently and if we don't figure out how to reverse this trend, by 2050 10 Million people, the population of New York City are estimated to die every year. We can take small steps now to prevent this by not using antibiotics for every little ear infection and things like that to prevent the build up of resistance to these life saving drugs."
0,3,18,0,1,"The leading cause of death throughout history has primarily been due to injuries and infection. While this went away after antibiotics were invented, deaths from infection are on the rise because bacteria continue to evolve to combat the vaccines we develop. Now bacteria evolve so quickly that it isn't financially worth it to companies to keep developing new strains of antibiotics."
0,3,19,0,0,"Historically, humans did not live long enough to die from things like cancer, heart failure, etc. Many people died after receiving injuries - whether animal wounds from hunting, or being crushed by rocks, or war wounds, or factory accidents - and the infections that followed those injuries.
But after penicillin was discovered in the early 20th century by Mr. Fleming, infections became possible to treat. Infections that once killed people, could now be cured within days, and easily. This resulted in a dramatic number of lives saved during World War I; somewhere between 10-15% of Allied forces by some estimates. Death from infections dropped dramatically everywhere.
But this is now changing. Bacteria evolve and develop resistances to antibiotic drugs, and for decades companies were constantly developing new drugs to kill bacteria as they became resistant to old ones. And now there are ""superbugs"" - types of bacteria that are immune to most, if not all, available antibiotics. And pharmaceutical companies are finding it too hard to develop new drugs. Already some 700,000 peopel a year are dying by infections worldwide, and if a solution isn't found by 2050 that number could rise to 10,000,000 a year - about the population of NYC.
There may come a day when only one or two, or no drugs at work on a given infection. And one way to combat this is by reducing our antibiotic use. Don't prescribe antibiotics to common childhood illnesses like earaches if we are not certain it is the right drug, don't buy or eat foods raised with animal treated with antibiotics, and other similar actions."
