generation,generation_size,num_times_read,participant_id,read_multiple_versions,replication,response
0,40,1,2,0,0,"Humans used to not die of cancer and things of that nature, because they died when they were to young to develop those things. In those times humans died from injury's and infections at younger ages than they do now. This all changed in 1924 when antibiotics were invented. It cured most of the Barrie infections that had plagued humans for centuries. However as time has went on infections have gotten immune to most antibiotic diseases. So we are potentially entering in a age of time where more and more people die from these diseases. The only way to combat this is to not eat food raised on antibiotics and to only use the proper antibiotic for what is bothering you."
0,40,1,6,0,0,"Bacterial infections used to kill people off in huge amounts.  We are lucky to have been living in the golden age of antibiotics, where most bacterial infections could be easily defeated with an antibacterial drug.  For 70 years bacteria have been adapting to the drugs that we have sent to kill them and now antibacterial resistant bacteria are on the rise.  Drug companies have stated that solving this issue is not profitable enough and so it is quite likely that bacterial infections will again become a large cause of death.  You can take a small step to help by not taking antibiotics when you don't need them or by not eating food that was given unneeded antibiotics."
0,40,1,8,0,0,"The invention of antibiotics has drastically increased the life span of human beings. As with most things, the overuse of a good thing, has produced negative results. This overuse has created bacteria which is immune to the life saving antibiotic drugs and the number of these ""superbugs"" continue to grow. Each year thousands of people die to these diseases, with no available treatment. If this trend continues, by 2050 hundreds of thousands of people will die every year with little to no recourse."
0,40,1,5,0,0,"Based on history, most people didn't die from cancer or heart disease like they do today. While that sounds good, it's really because they didn't live as long as we do now because they typically died of farm injuries, factory incidents, or infections.

All that changed in 1928 when penicillin was discovered by Alexander Fleming to treat bacterial infections. Penicillin meant that infections could be treated and cleared up instead of killing the person who had it.

Today, people are starting to die again because infections are starting to become antibiotic resistant. We are now back to thousands of people dying a year due to infections that cannot be killed by existing antibiotics and this number is predicted to increase significantly in the coming years."
0,40,1,3,0,0,"The given passage is about the western world today. And the main part of passage is death rate is increased by day by day how it can be reduced and how it can be controlled.if we could not control or analyse reason by 2050, death will be increased 10 million per year.it is about climate change is also a reason how could we control those. this was given in the passage. i have reduced to the main focus of the passage"
0,40,1,13,0,0,People died because of infections until pennicilin was discovered. Now though our bodies are becoming immune to antibiotics and bugs are becoming so resistant to it that by 2050 10 million people could die yearly the size of New York city today. We need to stop buying products like chicken and stuff that uses antibiotics to slow this down.
0,40,1,21,0,0,"In the past, people used to not live long enough to develop the diseases that cause death today (heart disease and cancer). They often died from infections.

This changed when antibiotics were discovered by a man named Fleming. Suddenly people were living longer, because the antibiotics fought off the bacterial infections.

Over time, unfortunately, bacteria has developed resistance to antibiotics. Because of this, we are now entering an age where, despite there being 100 antibiotics at hand, it's possible only one will work, or perhaps even none.

Eventually our world may not have any antibiotics that work against superbugs that have developed resistance to all antibiotics. After that, we will be living in a world somewhat like we did before. Already, about 700,000 people die per year from infections. Eventually it may be 10 million."
0,40,1,9,0,0,"Cancer and heart disease weren't an issue many years ago.  That is because people didn't live long enough to develop those problems.  They were more likely to die from injuries from farming, or in the factories that were available when the Industrial Revolution began.  People would often die from infections that came after a serious injury.

In 1928, antibiotics were developed.  Thanks to antibiotics, people began recovering in a few days from an illness that used to be a death sentence.  We were living longer, healthier lives.

However, now bacteria are getting better at fighting back and some have become resistant to the antibiotics we have been using.  It has become much more difficult to fight infections that are resistant, so people are again dying from them.  By 2050, it's estimated there may be 10 million deaths due to superbug infections.

We may be able to slow it down by not taking antibiotics when it may nor be necessary.  We can also stop eating food that comes from animals that were treated with anibiotics."
0,40,1,1,0,0,"Hundreds of years ago life expectancy was incredibly low, most due to people dying from injuries sustained from oxen, every day work and mostly due to infection.  In 1928 Alexander Fleming discovered penicillin which treated a multitude of infections and drastically decreased deaths due to infection.  It was used to treat pneumonia and sepsis and during world war 2 it is estimated that it saved 12-15% of allied forces.

Unfortunately, because we rely so very heavily on antibiotics the infections and diseases are becoming resistant to antibiotics becoming antibiotic resistant or, more commonly known as, super bugs.  The bacteria is developing resistances so quickly that pharmaceutical companies have come to the conclusion that it is just no longer in their best interest to continue making them.  Infections have started moving across the world for which, out of more than 100 common antibiotics on the market, 2 of those drugs MIGHT work but have side effects.  One of those might work or even none of them.  Fifty thousand people a year succumb to infections that no drug can help.  Reviews on antimicrobial resistance estimate that there are nearly 700 thousand deaths a year.  It is estimated that, if we can not get this under control then by 2050 the death toll could be at nearly ten million deaths a year, far larger than the current population of New York city.  

The absolute scale of antibiotic resistance seems so very overwhelming, but with little steps we can combat it, much like how people by fluorescent lights to combat environmental issues.  Stop treating the childrens ear infection with an antibiotic you're not even sure will work."
0,40,1,27,0,0,"People used to die often from injuries more than they did from preventable illness, because of a lack of effective medical scientific technology. This changed when Alexander Flemming discovered the antibiotic penicillin around the time of World War II. People were suddenly dying from infections far less often. Now, however, because of the race between pharmaceutical science and bacteria, antibiotics are becoming less and less effective. To prevent this from escalating any further, the public needs scale back the used of antibiotics in non-necessary or life threatening situations. "
0,40,1,15,0,0,"In the world most of the deaths are not caused by cancer or any other kind of diseases like that but rather most deaths are due to infections cause by an accident in an industry or somethings like that. But in 1928 after Dr. Fleming discovered the penicillin it all changed. The bacterial infections which once took too many lives are now cured just within days. The way it works is that the bacteria fight among others to survive on the food and our drugs like penicillin was the resistance to it. It all went well until today, because now the bacteria has evolved so drastically that the current pharmaceutical companies aren't able to make a resistance drug which is feasible to use. As of today, more than 50,000 people die due to infections and the total death toll of the world is around 700,000 people every year. If something is not done to find a solution to it, it is predicted that the total worldwide death toll will reach to 10 million people by 2050, which is in fact more people than New York City as of today. Just as we changed ourselves to use fluorescent lights as a small step to fight against global warming, we can also take small steps like this to prevent death from infections. We shouldn't give any antibiotics to our children if we are not sure that this is the right one also not to buy fish or shrimp if we don't know what antibiotics are being used upon."
